Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5058,0.0107,0.5058,0.0104,0.5058,0.0105,0.5058,0.0105,0.5706,0.0152,0.6993,0.0432
2,0.009901,0.5057,0.0105,0.5057,0.0104,0.5057,0.0104,0.5057,0.0104,0.5697,0.0181,0.7015,0.0405
3,0.009901,0.5048,0.0104,0.5048,0.0102,0.5048,0.0105,0.5048,0.0103,0.5678,0.0167,0.7171,0.0440
4,0.009901,0.5041,0.0103,0.5041,0.0102,0.5041,0.0102,0.5041,0.0102,0.5746,0.0147,0.6883,0.0346
5,0.009901,0.5031,0.0101,0.5031,0.0101,0.5031,0.0101,0.5031,0.0101,0.5766,0.0210,0.7067,0.0397
6,0.009901,0.5039,0.0103,0.5039,0.0102,0.5039,0.0102,0.5039,0.0102,0.5870,0.0161,0.7209,0.0459
7,0.009901,0.5030,0.0101,0.5030,0.0101,0.5030,0.0102,0.5030,0.0102,0.5605,0.0157,0.7001,0.0460
8,0.009901,0.5042,0.0103,0.5042,0.0101,0.5042,0.0102,0.5042,0.0102,0.5638,0.0163,0.6965,0.0321
9,0.009901,0.5053,0.0105,0.5053,0.0103,0.5053,0.0103,0.5053,0.0103,0.5676,0.0155,0.6931,0.0381
10,0.009901,0.5045,0.0106,0.5045,0.0102,0.5045,0.0102,0.5045,0.0102,0.5696,0.0211,0.7009,0.0341
